"","X","GeneID","TrxID","Npeptides","Ndetect.apy","Ndetect.eup","ID","Nobs.apy","Nobs.eup","mar","specific.eup","specific.apy","imputed","num_NAs","Means.Apy","Means.Eupy","Means.All","Apyrene_vs_Eupyrene_CI.L","Apyrene_vs_Eupyrene_CI.R","Apyrene_vs_Eupyrene_diff","Apyrene_vs_Eupyrene_p.adj","Apyrene_vs_Eupyrene_p.val","significant","Apyrene_vs_Eupyrene_significant","Apyrene_vs_Eupyrene_p.bh","significant_bh","master.de","TranscriptID","GeneName","type","score","PPV","id","desc","subject_seq.id","percent_identicalMatches","alignment_length","number_mismatches","number_gapOpenings","start_query.alignment","end_query.alignment","start_subject.alignment","end_subject.alignment","expect_value","bit_value","organism_commonName","organism_scientificName","organism_group","function."
"1",1,"PIERAPG00000000011","PIERAPT00000000047",1,3,1,"PIERAPG00000000011",4,2,TRUE,FALSE,FALSE,TRUE,5,13.5800337509094,13.0923327762696,13.0923327762696,-0.408299361736284,2.19653626874889,0.894118453506302,0.812000095684051,0.164744393596277,FALSE,FALSE,0.408772233750336,FALSE,"unbiased","PIERAPT00000000047","AdgbArl14epl",NA,NA,NA,NA,NA,"G3UZ78.1",20.495,566,368,15,32,529,898,1449,3.4e-14,80.1,"house mouse","Mus musculus","rodents","RecName: Full=Androglobin; AltName: Full=Calpain-7-like protein"
"3",3,"PIERAPG00000000017","PIERAPT00000000054",4,6,6,"PIERAPG00000000017",5,6,TRUE,FALSE,FALSE,FALSE,0,18.8396312917142,18.8982345485636,18.8982345485636,-0.787945710647274,0.573067102199689,-0.107439304223792,0.90674311906175,0.741996135062889,FALSE,FALSE,0.882747012508606,FALSE,"unbiased","PIERAPT00000000054","CTR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",4,"PIERAPG00000000023","PIERAPT00000000079",2,5,5,"PIERAPG00000000023",5,6,TRUE,FALSE,FALSE,FALSE,0,15.7056662705831,15.5515212968328,15.5515212968328,-0.639805692089063,1.20500392917331,0.282599118542125,0.889084923741475,0.524926933522404,FALSE,FALSE,0.752093589236409,FALSE,"unbiased","PIERAPT00000000079","HADHB","DE",1.05284353892,0.53027066857,0.909090909091,"Trifunctional enzyme subunit beta","P55084.3",71.859,199,56,0,1,199,275,473,4.56e-104,310,"human","Homo sapiens","primates","RecName: Full=Trifunctional enzyme subunit beta, mitochondrial; AltName: Full=TP-beta; Includes: RecName: Full=3-ketoacyl-CoA thiolase; AltName: Full=Acetyl-CoA acyltransferase; AltName: Full=Beta-ketothiolase; Flags: Precursor"
"8",8,"PIERAPG00000000054","PIERAPT00000000178",2,1,5,"PIERAPG00000000054",1,5,FALSE,TRUE,FALSE,TRUE,5,13.7790714622096,14.7545350993669,14.7545350993669,-2.73613001798533,-0.84056998492484,-1.78835000145509,0.140944868768397,0.00104692472189793,FALSE,FALSE,0.0109433263383294,TRUE,"eupyrene","PIERAPT00000000178","ubiE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",27,"PIERAPG00000000194","PIERAPT00000000484",10,3,5,"PIERAPG00000000194",2,5,TRUE,FALSE,FALSE,TRUE,4,17.1605634586797,16.6382336008913,16.6382336008913,0.306989920027811,1.60821955852961,0.957604739278711,0.392313919250425,0.00663177735647194,FALSE,FALSE,0.0463109830523377,TRUE,"apyrene","PIERAPT00000000484","ruvB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",32,"PIERAPG00000000245","PIERAPT00000000593",11,6,6,"PIERAPG00000000245",5,6,TRUE,FALSE,FALSE,FALSE,0,25.4861108772359,25.4393987867185,25.4393987867185,-0.703280016148677,0.874557681378976,0.0856388326151496,0.911571127830656,0.820765241807624,FALSE,FALSE,0.923671084244866,FALSE,"unbiased","PIERAPT00000000593","dna2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",33,"PIERAPG00000000254","PIERAPT00000000623",4,4,4,"PIERAPG00000000254",4,4,TRUE,FALSE,FALSE,TRUE,3,17.0325145286133,16.7086714930045,16.7086714930045,-0.561463133504046,1.7488875974028,0.593712231949379,0.854035335367425,0.291764755367613,FALSE,FALSE,0.568991833387621,FALSE,"unbiased","PIERAPT00000000623","CP089",NA,NA,NA,NA,NA,"Q3UST5.2",22.613,199,133,7,196,387,153,337,8.06e-09,60.5,"house mouse","Mus musculus","rodents","RecName: Full=UPF0764 protein C16orf89 homolog; Flags: Precursor"
"39",39,"PIERAPG00000000290","PIERAPT00000000700",1,5,4,"PIERAPG00000000290",5,4,TRUE,FALSE,FALSE,TRUE,2,13.8215700218833,14.0551849823986,14.0551849823986,-1.3389134657641,0.482325277208122,-0.428294094277991,0.862623293991235,0.333267811214162,FALSE,FALSE,0.600749568587785,FALSE,"unbiased","PIERAPT00000000700","PRSS53",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51",51,"PIERAPG00000000375","PIERAPT00000000899",4,6,6,"PIERAPG00000000375",5,6,TRUE,FALSE,FALSE,FALSE,0,16.5694774635766,16.5192694059183,16.5192694059183,-0.515126235209901,0.699222446623824,0.0920481057069615,0.907383670308479,0.751882428989254,FALSE,FALSE,0.886991928020126,FALSE,"unbiased","PIERAPT00000000899","Gale","DE",0.785424609498,0.405366894396,0.857142857143,"UDP-N-acetylglucosamine 4-epimerase","Q9W0P5.1",63.636,220,79,1,10,229,129,347,1.19e-103,306,"fruit fly","Drosophila melanogaster","flies","RecName: Full=UDP-glucose 4-epimerase; AltName: Full=Galactowaldenase; AltName: Full=UDP-N-acetylgalactosamine 4-epimerase; Short=UDP-GalNAc 4-epimerase; AltName: Full=UDP-N-acetylglucosamine 4-epimerase; Short=UDP-GlcNAc 4-epimerase; AltName: Full=UDP-galactose 4-epimerase"
"65",65,"PIERAPG00000000506","PIERAPT00000001201",3,2,4,"PIERAPG00000000506",2,4,TRUE,FALSE,FALSE,TRUE,5,14.772883249455,14.8636001581673,14.8636001581673,-1.12388994352299,0.791261278244248,-0.166314332639374,0.905096729721669,0.717332565000441,FALSE,FALSE,0.869854797056372,FALSE,"unbiased","PIERAPT00000001201","PebIII_2","DE",1.3167404604,0.638183142058,0.516129032258,"Chemosensory protein (Fragment)","E0X9F6.1",50,66,30,1,5,67,4,69,1e-15,69.7,"pine processionary moth","Thaumetopoea pityocampa","moths","RecName: Full=Allergen Tha p 1; AltName: Allergen=Tha p 1; Flags: Precursor"
