"","GeneID","X","TrxID","Npeptides","Ndetect.apy","Ndetect.eup","ID","Nobs.apy","Nobs.eup","mar","specific.eup","specific.apy","imputed","num_NAs","Means.Apy","Means.Eupy","Means.All","Apyrene_vs_Eupyrene_CI.L","Apyrene_vs_Eupyrene_CI.R","Apyrene_vs_Eupyrene_diff","Apyrene_vs_Eupyrene_p.adj","Apyrene_vs_Eupyrene_p.val","significant","Apyrene_vs_Eupyrene_significant","Apyrene_vs_Eupyrene_p.bh","significant_bh","master.de","TranscriptID","GeneName","type","score","PPV","id","desc","subject_seq.id","percent_identicalMatches","alignment_length","number_mismatches","number_gapOpenings","start_query.alignment","end_query.alignment","start_subject.alignment","end_subject.alignment","expect_value","bit_value","organism_commonName","organism_scientificName","organism_group","function.","DpleGene","spermProteomePresence_Monarch","MsexGene","spermProteomePresence_Manduca"
"1","PIERAPG00000000011",1,"PIERAPT00000000047",1,3,1,"PIERAPG00000000011",4,2,TRUE,FALSE,FALSE,TRUE,5,13.5800337509094,13.0923327762696,13.0923327762696,-0.408299361736284,2.19653626874889,0.894118453506302,0.812000095684051,0.164744393596277,FALSE,FALSE,0.408772233750336,FALSE,"unbiased","PIERAPT00000000047","AdgbArl14epl",NA,NA,NA,NA,NA,"G3UZ78.1",20.495,566,368,15,32,529,898,1449,3.4e-14,80.1,"house mouse","Mus musculus","rodents","RecName: Full=Androglobin; AltName: Full=Calpain-7-like protein",NA,NA,NA,NA
"2","PIERAPG00000000015",2,"PIERAPT00000000052",2,5,6,"PIERAPG00000000015",5,6,TRUE,FALSE,FALSE,FALSE,0,15.994363686068,16.5753950478301,16.5753950478301,-1.80642099895494,-0.324027327505911,-1.06522416323043,0.41705482868012,0.00773057395134153,FALSE,FALSE,0.0526566143734821,FALSE,"unbiased","PIERAPT00000000052","CSY5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Msex2.11901",TRUE
"3","PIERAPG00000000017",3,"PIERAPT00000000054",4,6,6,"PIERAPG00000000017",5,6,TRUE,FALSE,FALSE,FALSE,0,18.8396312917142,18.8982345485636,18.8982345485636,-0.787945710647274,0.573067102199689,-0.107439304223792,0.90674311906175,0.741996135062889,FALSE,FALSE,0.882747012508606,FALSE,"unbiased","PIERAPT00000000054","CTR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","PIERAPG00000000023",4,"PIERAPT00000000079",2,5,5,"PIERAPG00000000023",5,6,TRUE,FALSE,FALSE,FALSE,0,15.7056662705831,15.5515212968328,15.5515212968328,-0.639805692089063,1.20500392917331,0.282599118542125,0.889084923741475,0.524926933522404,FALSE,FALSE,0.752093589236409,FALSE,"unbiased","PIERAPT00000000079","HADHB","DE",1.05284353892,0.53027066857,0.909090909091,"Trifunctional enzyme subunit beta","P55084.3",71.859,199,56,0,1,199,275,473,4.56e-104,310,"human","Homo sapiens","primates","RecName: Full=Trifunctional enzyme subunit beta, mitochondrial; AltName: Full=TP-beta; Includes: RecName: Full=3-ketoacyl-CoA thiolase; AltName: Full=Acetyl-CoA acyltransferase; AltName: Full=Beta-ketothiolase; Flags: Precursor",NA,NA,NA,NA
"5","PIERAPG00000000026",5,"PIERAPT00000000091",5,4,6,"PIERAPG00000000026",4,6,TRUE,FALSE,FALSE,TRUE,1,17.7155345431601,17.0330510236129,17.0330510236129,0.480419487819432,2.02202008385392,1.25121978583667,0.287573110680092,0.00338364880779709,FALSE,FALSE,0.0270366553776863,TRUE,"apyrene","PIERAPT00000000091","AAEL001134","DE",2.93815565236,0.966635844929,0.779220779221,"Probable methylmalonate-semialdehyde dehydrogenase [acylating], mitochondrial","Q17M80.1",71.346,520,148,1,4,522,2,521,0,784,"yellow fever mosquito","Aedes aegypti","mosquitos","RecName: Full=Probable methylmalonate-semialdehyde dehydrogenase [acylating], mitochondrial; Short=MMSDH; Short=Malonate-semialdehyde dehydrogenase [acylating]; Flags: Precursor","DPOGS206635",FALSE,"Msex2.00514",FALSE
"6","PIERAPG00000000034",6,"PIERAPT00000000110",6,5,5,"PIERAPG00000000034",5,5,TRUE,FALSE,FALSE,TRUE,1,17.6191594999225,17.3498719074163,17.3498719074163,-0.24065805060454,1.22804588979398,0.493693919594723,0.816011896274638,0.173137021133113,FALSE,FALSE,0.421308534587457,FALSE,"unbiased","PIERAPT00000000110","CASC1","DE",2.8084354822,0.961537115767,0.392857142857,"axonemal 84 kDa protein-like","Q29RU8.1",23.983,688,438,20,213,874,87,715,6.12e-40,161,"cattle","Bos taurus","even-toed ungulates","RecName: Full=Protein CASC1; AltName: Full=Cancer susceptibility candidate gene 1 protein homolog",NA,FALSE,"Msex2.07670",TRUE
"7","PIERAPG00000000037",7,"PIERAPT00000000123",5,6,6,"PIERAPG00000000037",5,6,TRUE,FALSE,FALSE,FALSE,0,17.1891516575322,17.3069235032009,17.3069235032009,-1.16232681799407,0.730496717209089,-0.215915050392489,0.899020343618138,0.634923314901191,FALSE,FALSE,0.823122113389844,FALSE,"unbiased","PIERAPT00000000123","clpB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DPOGS208439",FALSE,"Msex2.04432",TRUE
"8","PIERAPG00000000054",8,"PIERAPT00000000178",2,1,5,"PIERAPG00000000054",1,5,FALSE,TRUE,FALSE,TRUE,5,13.7790714622096,14.7545350993669,14.7545350993669,-2.73613001798533,-0.84056998492484,-1.78835000145509,0.140944868768397,0.00104692472189793,FALSE,FALSE,0.0109433263383294,TRUE,"eupyrene","PIERAPT00000000178","ubiE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","PIERAPG00000000065",9,"PIERAPT00000000228",8,6,6,"PIERAPG00000000065",5,6,TRUE,FALSE,FALSE,FALSE,0,18.8752020030396,20.4907630198399,20.4907630198399,-3.64687709557652,-2.27684663269135,-2.96186186413394,7.35246242894608e-07,9.9939639689703e-08,TRUE,TRUE,4.25896618369965e-06,TRUE,"eupyrene","PIERAPT00000000228","Sec31bSntn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DPOGS213870",TRUE,"Msex2.11631",TRUE
"10","PIERAPG00000000080",10,"PIERAPT00000000254",3,6,6,"PIERAPG00000000080",5,6,TRUE,FALSE,FALSE,FALSE,0,16.9277465228825,16.927702452587,16.927702452587,-0.951725651360955,0.951887242444452,8.07955417485573e-05,0.920705388376665,0.999858522426228,FALSE,FALSE,0.99997422183979,FALSE,"unbiased","PIERAPT00000000254","snrpd3","DE",1.55605858064,0.722863979051,0.756756756757,"Small nuclear ribonucleoprotein Sm D3","P62318.1",82.569,109,16,1,1,106,1,109,5.27e-62,188,"human","Xenopus laevis;Homo sapiens;Mus musculus","frogs & toads;primates;rodents","RecName: Full=Small nuclear ribonucleoprotein Sm D3; Short=Sm-D3; AltName: Full=snRNP core protein D3","DPOGS206813",FALSE,"Msex2.09898",FALSE
