Gene,SpermSubset,ProteinOrthoHomology,PANNZER_Description,Avg NSAF Apyrene,Avg NSAF Eupyrene
Msex2.00018,Shared,NA,Calmodulin-binding protein trpl,0.003305611,0.002095281
Msex2.00165,Apyrene,DPOGS202110,NA,0.000232365,NA
Msex2.00166,Eupyrene,DPOGS202115,Tctex1 domain-containing protein 4 (Fragment),NA,0.001631136
Msex2.00198,Shared,DPOGS203796,cilia- and flagella-associated protein 57,0.000439256,0.000276543
Msex2.00212,Shared,DPOGS203806,NA,0.001378496,0.000636663
Msex2.00213,Shared,DPOGS203806,NA,0.001250167,0.000548853
Msex2.00235,Shared,DPOGS203677,Casein kinase II subunit alpha,0.000494466,0.000661009
Msex2.00246,Eupyrene,DPOGS203823,Ribosomal protein L13e,NA,0.000482611
Msex2.00253,Eupyrene,NA,Long-chain-fatty-acid--CoA ligase,NA,0.000402406
Msex2.00265,Shared,DPOGS210891,WD repeat-containing protein 96,0.000470498,0.000301545
Msex2.00305,Eupyrene,NA,NA,NA,0.001357994
Msex2.00317,Eupyrene,NA,NA,NA,0.000205592
Msex2.00325,Shared,NA,NA,0.008141623,0.005484911
Msex2.00329,Eupyrene,DPOGS209235,Transmembrane emp24 domain-containing protein eca,NA,0.000425687
Msex2.00347,Eupyrene,NA,Chorion class B,NA,0.000578054
Msex2.00376,Shared,NA,NA,0.001384133,0.000699775
Msex2.00386,Shared,DPOGS209134,Superoxide dismutase [Cu-Zn],0.001031662,0.000490274
Msex2.00390,Apyrene,DPOGS209201,Short-chain dehydrogenease/reductase,0.000319187,NA
Msex2.00391,Shared,DPOGS209136,NA,0.000391213,0.000162817
Msex2.00393,Shared,DPOGS209137,Cytosol aminopeptidase,0.020242392,0.004967594
Msex2.00416,Eupyrene,NA,NA,NA,0.000448636
Msex2.00420,Eupyrene,DPOGS208521,NA,NA,0.001749224
Msex2.00431,Eupyrene,DPOGS211368,NA,NA,0.000128931
Msex2.00440,Shared,DPOGS211341,NA,0.002614266,0.002133104
Msex2.00450,Apyrene,NA,NA,0.000326129,NA
Msex2.00451,Shared,DPOGS211354,NA,0.001374281,0.000567974
Msex2.00452,Eupyrene,NA,NA,NA,0.000194879
Msex2.00513,Eupyrene,NA,NA,NA,0.000373893
Msex2.00519,Shared,DPOGS206670,Serine/threonine-protein phosphatase,0.003163949,0.002263324
Msex2.00524,Apyrene,DPOGS206625,Glycogen synthase kinase-3 beta,0.000916794,NA
Msex2.00575,Shared,DPOGS211585,LOW QUALITY PROTEIN: axonemal dynein light intermediate polypeptide 1,0.003199209,0.002905533
Msex2.00590,Eupyrene,DPOGS211567,Glutamate dehydrogenase,NA,0.000555414
Msex2.00600,Apyrene,DPOGS211021,Putative malate dehydrogenase 1B,0.000354976,NA
Msex2.00605,Shared,NA,NA,0.002281949,0.001345936
Msex2.00609,Eupyrene,DPOGS210951,Renin receptor,NA,0.000451518
Msex2.00617,Shared,DPOGS210956,IQ and ubiquitin-like domain-containing protein,0.000776166,0.000367043
Msex2.00630,Eupyrene,DPOGS208876,Pyruvate kinase,NA,0.000579878
Msex2.00631,Apyrene,NA,NA,0.000282542,NA
Msex2.00652,Eupyrene,DPOGS208993,Vacuolar protein sorting-associated protein 13A,NA,3.31E-05
Msex2.00667,Apyrene,DPOGS202056,26S proteasome non-ATPase regulatory subunit 5,0.000129322,NA
Msex2.00684,Shared,DPOGS208883,"glycerol-3-phosphate dehydrogenase [NAD(+)], cytoplasmic",0.001408716,0.000779831
Msex2.00685,Shared,DPOGS208881,DNAJ chaperone,0.001447855,0.000502151
Msex2.00696,Shared,"DPOGS209009,DPOGS209016",ATP synthase subunit beta,0.00225541,0.002181979
Msex2.00721,Apyrene,DPOGS215239,Casein kinase I isoform gamma-3,0.000678518,NA
Msex2.00775,Eupyrene,NA,NA,NA,0.004160769
Msex2.00817,Shared,DPOGS208229,Malic enzyme,0.000107404,0.00033644
Msex2.00844,Shared,DPOGS204043,NA,0.001347437,0.000502623
Msex2.00853,Eupyrene,DPOGS204037,Putative extracellular protein sel-1,NA,0.000136247
Msex2.00871,Shared,DPOGS212876,Radial spoke head protein 4 like protein A,0.001290242,0.000816667
Msex2.00929,Shared,DPOGS215720,Arginine kinase,0.003148927,0.002012503
Msex2.00940,Shared,DPOGS215705,Armadillo repeat-containing protein 3,0.001206349,0.000521327
Msex2.00955,Eupyrene,DPOGS206372,Neuronal cell adhesion molecule,NA,0.000110094
Msex2.00958,Shared,NA,Mitochondrial cytochrome c oxidase subunit Va,0.002562312,0.00160041
Msex2.01000,Apyrene,DPOGS200148,NA,0.000247272,NA
Msex2.01031,Apyrene,DPOGS207285,NA,0.000304136,NA
Msex2.01039,Shared,DPOGS207276,Sperm-associated antigen 6,0.003484202,0.002869787
Msex2.01042,Eupyrene,DPOGS204848,Ribosomal protein rpl14,NA,0.001156519
Msex2.01060,Apyrene,DPOGS204836,IQ domain-containing protein K,0.000275561,NA
Msex2.01112,Eupyrene,DPOGS200373,NA,NA,0.000381016
Msex2.01138,Shared,DPOGS203597,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit,0.001561477,0.001026919
Msex2.01150,Apyrene,DPOGS203617,Protein I'm not dead yet,0.001756801,NA
Msex2.01151,Shared,DPOGS203603,Protein I'm not dead yet (Fragment),0.001603872,0.001655561
Msex2.01152,Eupyrene,DPOGS203617,Putative na+/dicarboxylate na+/tricarboxylate and phosphate transporter,NA,0.002246287
Msex2.01166,Eupyrene,NA,Hypoxia up-regulated protein 1,NA,0.000411733
Msex2.01169,Shared,DPOGS202628,Mitochondrial prohibitin complex protein 2,0.003471406,0.000813586
Msex2.01174,Apyrene,DPOGS214033,Beta lactamase domain,0.000305938,NA
Msex2.01180,Eupyrene,DPOGS214042,Spectrin beta chain,NA,0.00029478
Msex2.01218,Shared,DPOGS214731,Mitochondrial NADH dehydrogenase PSST subunit,0.001009247,0.000647423
Msex2.01228,Shared,DPOGS214736,NA,0.000301071,0.000577238
Msex2.01242,Apyrene,NA,NA,0.000270245,NA
Msex2.01308,Shared,NA,NA,0.000979104,0.000411174
Msex2.01334,Shared,DPOGS202999,ATP synthase subunit gamma,0.001531914,0.00106137
Msex2.01346,Shared,NA,NA,0.011597148,0.00810522
Msex2.01396,Shared,DPOGS203290,Aldose 1-epimerase,0.003352537,0.001527488
Msex2.01399,Eupyrene,DPOGS203293,NA,NA,5.84E-05
Msex2.01400,Shared,NA,NA,0.001270303,0.002556748
Msex2.01405,Shared,DPOGS208385,NA,0.004367552,0.00206334
Msex2.01420,Shared,DPOGS203282,"Succinate dehydrogenase [ubiquinone] flavoprotein subunit A, mitochondrial",0.003571033,0.003296281
Msex2.01421,Eupyrene,DPOGS208370,Succinate dehydrogenase C,NA,0.00094681
Msex2.01436,Eupyrene,DPOGS207421,Ribosomal protein S3,NA,0.000575469
Msex2.01444,Apyrene,DPOGS207426,NA,0.000375443,NA
Msex2.01446,Shared,DPOGS207402,NA,0.003125649,0.002270453
Msex2.01447,Shared,DPOGS207401,NA,0.000688936,0.000739537
Msex2.01461,Shared,DPOGS202417,Tubulin beta chain,0.001113155,0.010602799
Msex2.01475,Shared,DPOGS211437,NA,0.001736649,0.001999783
Msex2.01546,Apyrene,NA,NA,0.000285866,NA
Msex2.01570,Shared,DPOGS207101,Mitochondrial malate dehydrogenase 2,0.003031549,0.004186841
Msex2.01630,Eupyrene,DPOGS207396,NA,NA,0.00046943
Msex2.01640,Shared,DPOGS207388,Kallikrein 1-related peptidase b24,0.000716886,0.002108165
Msex2.01643,Shared,DPOGS207386,Coiled-coil domain-containing protein 164,0.000604679,0.000168865
Msex2.01647,Eupyrene,DPOGS207382,Vacuolar ATP synthase subunit H,NA,0.00019351
Msex2.01651,Apyrene,DPOGS207380,NA,0.000318086,NA
Msex2.01655,Eupyrene,NA,NA,NA,0.002494798
Msex2.01656,Eupyrene,DPOGS216029,Mitochondrial cytochrome c,NA,0.001182665
Msex2.01662,Shared,NA,NA,0.000296662,0.000735167
Msex2.01687,Eupyrene,NA,NA,NA,6.42E-05
Msex2.01704,Eupyrene,DPOGS214869,Laminin subunit gamma-1,NA,0.001501169
Msex2.01713,Shared,DPOGS214840,Growth arrest-specific protein 8,0.001059216,0.00027293
Msex2.01716,Shared,DPOGS214875,NA,0.001652043,0.000760109
Msex2.01744,Apyrene,DPOGS212039,Paraplegin,0.000637871,NA
Msex2.01758,Shared,DPOGS203866,NA,0.015804413,0.01349967
Msex2.01759,Shared,NA,NA,0.003712172,0.002740661
Msex2.01762,Eupyrene,DPOGS211069,Proton-coupled amino acid transporter 4,NA,0.000365145
Msex2.01764,Shared,NA,NA,0.001964856,0.000939914
Msex2.01765,Shared,DPOGS211068,NA,0.006298922,0.006342256
Msex2.01815,Shared,"DPOGS213388,DPOGS215440,DPOGS202403",Tubulin beta chain,0.012744304,0.006300142
Msex2.01816,Shared,"DPOGS213388,DPOGS215440,DPOGS202403",Tubulin beta chain,0.004424495,0.002973545
Msex2.01820,Apyrene,NA,Heat shock protein 20.4,0.00125592,NA
Msex2.01835,Shared,DPOGS213366,NA,0.002429477,0.015393417
Msex2.01836,Eupyrene,DPOGS213370,NA,NA,0.000939275
Msex2.01886,Eupyrene,DPOGS201674,NA,NA,0.000264658
Msex2.01888,Apyrene,DPOGS201676,NADH dehydrogenase,0.000530089,NA
Msex2.01914,Apyrene,DPOGS200448,Isocitrate dehydrogenase,0.000613732,NA
Msex2.01957,Eupyrene,NA,Fasciclin-3,NA,0.000581974
Msex2.01968,Shared,DPOGS203450,Neverland,0.002653363,0.001557532
Msex2.02002,Shared,NA,NA,0.001526196,0.000896853
Msex2.02004,Apyrene,DPOGS214113,Leucine-rich repeat-containing protein 43,0.000396766,NA
Msex2.02019,Shared,DPOGS214107,Prohibitin protein WPH,0.004928069,0.001691835
Msex2.02032,Shared,DPOGS214092,NA,0.000486282,3.41E-05
Msex2.02039,Shared,NA,Metalloendopeptidase,0.005703423,0.001202968
Msex2.02045,Apyrene,DPOGS207641,cAMP-dependent protein kinase catalytic subunit alpha,0.000667187,NA
Msex2.02052,Shared,DPOGS207628,NADH dehydrogenase flavoprotein 1 ubiquinone,0.002825977,0.001860145
Msex2.02121,Shared,DPOGS214555,Pitrilysin metalloproteinase 1,0.000736493,8.24E-05
Msex2.02137,Shared,NA,NA,0.002462934,0.000883751
Msex2.02261,Apyrene,DPOGS207739,Gamma glutamyl transpeptidase,0.000196017,NA
Msex2.02267,Shared,DPOGS207733,NA,0.002189191,0.000960079
Msex2.02268,Shared,DPOGS207830,NA,0.009299415,0.001191903
Msex2.02301,Apyrene,DPOGS207855,IQ domain-containing protein D,0.000411578,NA
Msex2.02331,Shared,DPOGS213565,Leucine-rich repeat-containing protein 48,0.000390265,0.000209156
Msex2.02333,Eupyrene,DPOGS213564,Protein disulfide-isomerase,NA,0.000256645
Msex2.02346,Shared,DPOGS213555,NA,0.000512422,0.00447814
Msex2.02425,Apyrene,DPOGS210749,Putative Sodium/potassium-transporting ATPase subunit beta-1,0.000237279,NA
Msex2.02432,Apyrene,"DPOGS210700,DPOGS210702",Heat shock protein cognate 2,0.000263879,NA
Msex2.02440,Shared,DPOGS210708,NA,0.001218422,0.003123198
Msex2.02468,Apyrene,DPOGS210723,NA,0.000868004,NA
Msex2.02475,Shared,DPOGS200206,Tissue factor pathway inhibitor,0.000354291,0.007739704
Msex2.02506,Shared,"DPOGS202511,DPOGS204814",NA,0.000911635,0.001017763
Msex2.02540,Shared,DPOGS205592,Isochorismatase domain-containing protein 1,0.000683999,0.00074221
Msex2.02542,Eupyrene,NA,NA,NA,0.003335576
Msex2.02543,Eupyrene,DPOGS203865,MICOS complex subunit,NA,0.001194492
Msex2.02545,Eupyrene,NA,NA,NA,9.87E-05
Msex2.02574,Eupyrene,NA,NA,NA,0.001300621
Msex2.02591,Eupyrene,NA,NA,NA,0.002196676
Msex2.02606,Shared,DPOGS200407,Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex,0.00032634,0.000532157
Msex2.02642,Shared,DPOGS213831,Leucine zipper-EF-hand containing transmembrane protein 1,0.000937411,0.000398069
Msex2.02667,Shared,DPOGS205815,NA,0.001165594,0.000472299
Msex2.02709,Apyrene,DPOGS204324,"Dynein intermediate chain 3, ciliary",0.001387969,NA
Msex2.02721,Shared,DPOGS209915,Tetratricopeptide repeat protein 25,0.002100326,0.000194785
Msex2.02786,Shared,DPOGS204357,parkin coregulated gene protein homolog,0.002901586,0.002217994
Msex2.02826,Eupyrene,NA,NA,NA,6.97E-05
Msex2.02828,Shared,"DPOGS203334,DPOGS214479",Tubulin alpha chain,0.010801962,0.007461301
Msex2.02848,Shared,DPOGS205423,NADH dehydrogenase (Ubiquinone) 1 alpha subcomplex subunit,0.001049892,0.000749486
Msex2.02852,Eupyrene,DPOGS201074,Carbon-nitrogen hydrolase,NA,0.000214696
Msex2.02853,Eupyrene,DPOGS210146,NA,NA,0.006684942
Msex2.02883,Apyrene,DPOGS205570,WD repeat-containing protein 63,0.000405625,NA
Msex2.02915,Shared,DPOGS213656,Pyruvate kinase,0.002234171,0.000154989
Msex2.02939,Eupyrene,DPOGS212589,Malate dehydrogenase,NA,0.003112161
Msex2.02950,Shared,DPOGS212621,Radial spoke head 1 like protein,0.000511871,0.000527248
Msex2.02968,Apyrene,NA,NA,0.00050987,NA
Msex2.02970,Shared,DPOGS200496,Nucleoside diphosphate kinase,0.002489124,0.000932029
Msex2.02986,Eupyrene,DPOGS213436,Tissue factor pathway inhibitor,NA,0.001023488
Msex2.03019,Shared,DPOGS213309,Succinyl-CoA ligase [ADP-forming] subunit beta,0.001991898,0.000967087
Msex2.03053,Apyrene,DPOGS210594,Transcription factor IIB,0.000492188,NA
Msex2.03070,Shared,DPOGS215918,TraB domain containing,0.00328623,0.00194211
Msex2.03083,Shared,DPOGS215921,Dihydrolipoyl dehydrogenase,0.005675777,0.007137492
Msex2.03104,Shared,DPOGS200926,Glutamine-rich protein 2,0.00095027,0.000193028
Msex2.03126,Apyrene,DPOGS207954,NA,0.000518316,NA
Msex2.03175,Shared,DPOGS214218,Glycerophosphocholine phosphodiesterase,0.000600166,0.000247119
Msex2.03206,Eupyrene,DPOGS214864,NA,NA,0.000424138
Msex2.03214,Shared,NA,NA,0.001127628,0.007007026
Msex2.03229,Eupyrene,NA,NA,NA,0.006680877
Msex2.03263,Apyrene,NA,Glutathione peroxidase,0.00065636,NA
Msex2.03322,Shared,DPOGS204492,NA,0.000969896,0.001240589
Msex2.03358,Shared,NA,NA,0.00489018,0.001251315
Msex2.03362,Eupyrene,DPOGS200989,Mitochondrial 2-oxoglutarate/malate carrier protein isoform 1,NA,0.009068309
Msex2.03368,Apyrene,DPOGS200992,NA,8.28E-05,NA
Msex2.03396,Eupyrene,DPOGS206149,Vesicle-associated membrane protein-associated protein A,NA,0.000452256
