# TargetP-2.0	Organism: Non-Plant	Timestamp: 20260203200701
# ID	Prediction	OTHER	SP	mTP	CS Position
PIERAPG00000014246	OTHER	0.999865	0.000031	0.000104	
PIERAPG00000010238	SP	0.048201	0.951672	0.000127	CS pos: 17-18. SIA-KR. Pr: 0.7944
PIERAPG00000005957	OTHER	0.999978	0.000011	0.000011	
PIERAPG00000005989	SP	0.004201	0.995711	0.000088	CS pos: 17-18. VMG-EG. Pr: 0.5502
PIERAPG00000002059	OTHER	0.984471	0.000241	0.015288	
PIERAPG00000013412	OTHER	0.997378	0.000151	0.002471	
PIERAPG00000000777	SP	0.000458	0.999540	0.000002	CS pos: 24-25. ALS-DK. Pr: 0.9748
PIERAPG00000002451	OTHER	0.995382	0.002971	0.001647	
PIERAPG00000005053	OTHER	0.999893	0.000013	0.000095	
PIERAPG00000005232	OTHER	0.914566	0.085230	0.000204	
PIERAPG00000005793	OTHER	0.976639	0.014686	0.008675	
PIERAPG00000009377	OTHER	0.995029	0.001997	0.002975	
PIERAPG00000012349	OTHER	0.999559	0.000051	0.000390	
PIERAPG00000003443	OTHER	0.996991	0.001395	0.001614	
PIERAPG00000000791	OTHER	0.999973	0.000010	0.000017	
PIERAPG00000008820	OTHER	0.956116	0.042657	0.001227	
PIERAPG00000014418	SP	0.000037	0.999959	0.000004	CS pos: 16-17. ALA-GN. Pr: 0.9242
PIERAPG00000014728	SP	0.000230	0.999746	0.000024	CS pos: 18-19. TFG-YL. Pr: 0.9071
PIERAPG00000010760	SP	0.003520	0.996474	0.000005	CS pos: 21-22. VWS-HV. Pr: 0.8836
PIERAPG00000002751	OTHER	0.973779	0.011326	0.014894	
PIERAPG00000005828	OTHER	0.651412	0.000085	0.348503	
PIERAPG00000006546	SP	0.016713	0.982941	0.000346	CS pos: 19-20. VNA-NT. Pr: 0.9520
PIERAPG00000009504	SP	0.001814	0.997754	0.000432	CS pos: 17-18. IHA-GG. Pr: 0.7771
PIERAPG00000001082	OTHER	0.999933	0.000063	0.000004	
PIERAPG00000014500	mTP	0.000450	0.000005	0.999544	CS pos: 23-24. RNL-AA. Pr: 0.6377
PIERAPG00000003552	OTHER	0.999287	0.000290	0.000423	
PIERAPG00000010026	mTP	0.000203	0.000008	0.999789	CS pos: 24-25. ART-ST. Pr: 0.5342
PIERAPG00000009090	mTP	0.054333	0.001190	0.944477	CS pos: 38-39. RDY-AA. Pr: 0.5573
PIERAPG00000000590	SP	0.412186	0.556341	0.031474	CS pos: 30-31. GLG-SL. Pr: 0.3745
PIERAPG00000013660	OTHER	0.931476	0.000139	0.068385	
PIERAPG00000007996	OTHER	0.876965	0.000089	0.122946	
PIERAPG00000008678	mTP	0.152262	0.000261	0.847476	CS pos: 25-26. RNM-AT. Pr: 0.3197
PIERAPG00000008049	OTHER	0.999912	0.000065	0.000023	
PIERAPG00000007940	SP	0.002245	0.997745	0.000010	CS pos: 16-17. VDG-IP. Pr: 0.9602
PIERAPG00000002992	OTHER	0.970136	0.000852	0.029012	
PIERAPG00000002599	OTHER	0.764989	0.000026	0.234985	
PIERAPG00000003008	OTHER	0.999686	0.000196	0.000118	
PIERAPG00000009926	OTHER	0.994264	0.000402	0.005333	
PIERAPG00000004986	OTHER	0.999919	0.000013	0.000068	
PIERAPG00000005290	OTHER	0.999851	0.000070	0.000080	
PIERAPG00000000842	OTHER	0.999893	0.000014	0.000093	
PIERAPG00000000011	OTHER	0.999561	0.000317	0.000121	
PIERAPG00000010379	OTHER	0.999847	0.000071	0.000083	
PIERAPG00000001903	OTHER	0.986866	0.004765	0.008369	
PIERAPG00000009275	OTHER	0.999870	0.000103	0.000028	
PIERAPG00000000231	OTHER	0.999625	0.000352	0.000023	
PIERAPG00000004831	OTHER	0.999877	0.000009	0.000114	
PIERAPG00000006801	OTHER	0.994528	0.003232	0.002239	
PIERAPG00000000146	OTHER	0.999935	0.000016	0.000050	
PIERAPG00000002110	OTHER	0.999935	0.000016	0.000050	
PIERAPG00000007039	OTHER	0.999645	0.000294	0.000060	
PIERAPG00000007954	OTHER	0.999846	0.000110	0.000044	
PIERAPG00000004927	OTHER	0.999957	0.000019	0.000024	
PIERAPG00000013689	OTHER	0.872678	0.000979	0.126344	
PIERAPG00000013957	SP	0.000173	0.999822	0.000005	CS pos: 20-21. AST-DS. Pr: 0.3186
PIERAPG00000010932	SP	0.096381	0.894186	0.009433	CS pos: 26-27. VHA-HD. Pr: 0.7941
PIERAPG00000004335	OTHER	0.999810	0.000007	0.000183	
PIERAPG00000010608	OTHER	0.999830	0.000136	0.000034	
PIERAPG00000009044	OTHER	0.996360	0.003639	0.000000	
PIERAPG00000007555	OTHER	0.999975	0.000021	0.000004	
PIERAPG00000013863	OTHER	0.994204	0.000254	0.005542	
PIERAPG00000012657	OTHER	0.974805	0.004885	0.020310	
PIERAPG00000009622	OTHER	0.922055	0.008132	0.069812	
PIERAPG00000010688	OTHER	0.999904	0.000045	0.000051	
PIERAPG00000006821	OTHER	0.999227	0.000496	0.000277	
PIERAPG00000007305	OTHER	0.995714	0.004074	0.000212	
PIERAPG00000001681	OTHER	0.999952	0.000003	0.000046	
PIERAPG00000011888	OTHER	0.995052	0.000191	0.004757	
PIERAPG00000008437	mTP	0.038535	0.000164	0.961302	CS pos: 21-22. RSY-AD. Pr: 0.9472
PIERAPG00000001701	OTHER	0.655470	0.000092	0.344438	
PIERAPG00000002868	SP	0.003595	0.995694	0.000711	CS pos: 20-21. SLA-SV. Pr: 0.7956
PIERAPG00000007581	OTHER	0.999103	0.000555	0.000342	
PIERAPG00000000825	OTHER	0.998721	0.000407	0.000872	
PIERAPG00000011059	OTHER	0.999978	0.000014	0.000008	
PIERAPG00000014322	OTHER	0.985032	0.009644	0.005324	
PIERAPG00000004675	SP	0.000100	0.999899	0.000001	CS pos: 21-22. VEA-LN. Pr: 0.8788
PIERAPG00000001156	OTHER	0.988957	0.000030	0.011013	
PIERAPG00000006267	OTHER	0.547990	0.075928	0.376082	
PIERAPG00000008054	OTHER	0.987142	0.012342	0.000517	
PIERAPG00000005837	OTHER	0.999955	0.000028	0.000017	
PIERAPG00000004973	mTP	0.019029	0.000126	0.980845	CS pos: 30-31. LRS-SH. Pr: 0.3838
PIERAPG00000003702	SP	0.000202	0.999687	0.000111	CS pos: 15-16. AAS-SA. Pr: 0.3663
PIERAPG00000011545	SP	0.000054	0.999932	0.000013	CS pos: 17-18. AAA-VP. Pr: 0.8104
PIERAPG00000002201	mTP	0.426766	0.001807	0.571427	CS pos: 28-29. RTM-AS. Pr: 0.4257
PIERAPG00000014202	OTHER	0.870721	0.127032	0.002247	
PIERAPG00000001400	mTP	0.010629	0.002284	0.987088	CS pos: 23-24. RAF-LS. Pr: 0.5719
PIERAPG00000001079	OTHER	0.734487	0.120902	0.144610	
PIERAPG00000003324	SP	0.000335	0.999627	0.000039	CS pos: 22-23. VSS-ES. Pr: 0.5463
PIERAPG00000007851	OTHER	0.998481	0.001399	0.000120	
PIERAPG00000005976	OTHER	0.999996	0.000003	0.000001	
PIERAPG00000014535	OTHER	0.999289	0.000320	0.000391	
PIERAPG00000004497	OTHER	0.999975	0.000012	0.000013	
PIERAPG00000006438	OTHER	0.998383	0.000774	0.000842	
PIERAPG00000014809	mTP	0.470538	0.000130	0.529332	CS pos: 18-19. VKN-SS. Pr: 0.1110
PIERAPG00000004895	OTHER	0.947711	0.001108	0.051181	
PIERAPG00000012781	OTHER	0.998944	0.000793	0.000263	
PIERAPG00000013646	OTHER	0.999428	0.000192	0.000379	
PIERAPG00000008967	OTHER	0.988604	0.002191	0.009205	
PIERAPG00000003584	OTHER	0.999986	0.000006	0.000007	
PIERAPG00000012855	OTHER	0.999815	0.000094	0.000091	
PIERAPG00000003171	SP	0.049943	0.948385	0.001672	CS pos: 23-24. TSA-AV. Pr: 0.2524
PIERAPG00000009465	OTHER	0.999955	0.000023	0.000021	
PIERAPG00000010284	OTHER	0.999895	0.000004	0.000101	
PIERAPG00000000034	OTHER	0.999992	0.000001	0.000007	
PIERAPG00000000493	SP	0.001942	0.998046	0.000013	CS pos: 17-18. VSS-VS. Pr: 0.5982
PIERAPG00000006216	OTHER	0.998578	0.000056	0.001366	
PIERAPG00000011713	OTHER	0.996151	0.000106	0.003743	
PIERAPG00000001293	OTHER	0.961829	0.000216	0.037955	
PIERAPG00000009887	OTHER	0.999972	0.000012	0.000017	
PIERAPG00000013573	mTP	0.197622	0.002502	0.799876	CS pos: 44-45. VRY-GA. Pr: 0.1984
PIERAPG00000013359	OTHER	0.999919	0.000070	0.000011	
PIERAPG00000013590	OTHER	0.999973	0.000003	0.000023	
PIERAPG00000008877	OTHER	0.998649	0.001240	0.000111	
PIERAPG00000000126	OTHER	0.999956	0.000005	0.000038	
PIERAPG00000014130	SP	0.001304	0.998693	0.000003	CS pos: 16-17. ANG-SH. Pr: 0.8416
PIERAPG00000013668	OTHER	0.999988	0.000002	0.000009	
PIERAPG00000005443	OTHER	0.999306	0.000255	0.000438	
PIERAPG00000006824	OTHER	0.999917	0.000035	0.000048	
PIERAPG00000001580	OTHER	0.840493	0.002067	0.157440	
PIERAPG00000003586	OTHER	0.999893	0.000020	0.000087	
PIERAPG00000014212	OTHER	0.997853	0.000677	0.001470	
PIERAPG00000002614	OTHER	0.999979	0.000006	0.000015	
PIERAPG00000010647	OTHER	0.999995	0.000000	0.000005	
PIERAPG00000003451	OTHER	0.962131	0.005548	0.032321	
PIERAPG00000006977	SP	0.006369	0.991606	0.002025	CS pos: 17-18. AHS-LR. Pr: 0.8256
PIERAPG00000009813	OTHER	0.999961	0.000029	0.000010	
PIERAPG00000005836	OTHER	0.979976	0.000496	0.019528	
PIERAPG00000007965	OTHER	0.996608	0.000039	0.003353	
PIERAPG00000004009	OTHER	0.999756	0.000189	0.000055	
PIERAPG00000000810	OTHER	0.999596	0.000133	0.000271	
PIERAPG00000005180	OTHER	0.997476	0.002411	0.000113	
PIERAPG00000013867	OTHER	0.999369	0.000164	0.000467	
PIERAPG00000013734	OTHER	0.999758	0.000004	0.000238	
PIERAPG00000005065	OTHER	0.999976	0.000008	0.000016	
PIERAPG00000010393	OTHER	0.995420	0.000505	0.004074	
PIERAPG00000004171	OTHER	0.999949	0.000042	0.000008	
PIERAPG00000002187	OTHER	0.999397	0.000133	0.000469	
PIERAPG00000014642	OTHER	0.997448	0.002420	0.000133	
PIERAPG00000007445	mTP	0.027745	0.000106	0.972149	CS pos: 18-19. RTF-ST. Pr: 0.4581
PIERAPG00000001561	OTHER	0.999310	0.000254	0.000436	
PIERAPG00000000104	OTHER	0.999957	0.000032	0.000012	
PIERAPG00000005362	SP	0.000227	0.999768	0.000004	CS pos: 16-17. SMS-DD. Pr: 0.7069
PIERAPG00000012707	SP	0.000268	0.999731	0.000002	CS pos: 19-20. CWG-KE. Pr: 0.8735
PIERAPG00000012236	mTP	0.412409	0.000699	0.586892	CS pos: 29-30. SRS-LK. Pr: 0.4125
PIERAPG00000005851	OTHER	0.999906	0.000034	0.000060	
PIERAPG00000009556	OTHER	0.996716	0.000120	0.003164	
PIERAPG00000001463	OTHER	0.999588	0.000240	0.000172	
PIERAPG00000011845	OTHER	0.994411	0.005525	0.000064	
PIERAPG00000005355	OTHER	0.986405	0.013536	0.000059	
PIERAPG00000010296	OTHER	0.998879	0.000977	0.000144	
PIERAPG00000014481	OTHER	0.996963	0.002262	0.000775	
PIERAPG00000008321	OTHER	0.999995	0.000003	0.000002	
PIERAPG00000002294	OTHER	0.997759	0.000117	0.002124	
PIERAPG00000012720	OTHER	0.999781	0.000083	0.000136	
PIERAPG00000006017	OTHER	0.999564	0.000016	0.000420	
PIERAPG00000009095	OTHER	0.999996	0.000004	0.000000	
PIERAPG00000001756	mTP	0.272723	0.001861	0.725416	CS pos: 38-39. RRN-AS. Pr: 0.4256
PIERAPG00000010607	OTHER	0.999921	0.000043	0.000036	
PIERAPG00000006127	OTHER	0.999958	0.000013	0.000029	
PIERAPG00000006713	OTHER	0.888912	0.110155	0.000933	
PIERAPG00000012035	OTHER	0.999901	0.000021	0.000078	
PIERAPG00000011394	mTP	0.422240	0.042872	0.534887	CS pos: 45-46. AHM-ST. Pr: 0.1751
PIERAPG00000014697	OTHER	0.999591	0.000017	0.000392	
PIERAPG00000006067	mTP	0.252419	0.000600	0.746981	CS pos: 32-33. SRN-GN. Pr: 0.2218
PIERAPG00000001610	OTHER	0.999790	0.000022	0.000187	
PIERAPG00000012558	SP	0.041412	0.957645	0.000943	CS pos: 16-17. VDS-SA. Pr: 0.4339
PIERAPG00000011522	OTHER	0.999994	0.000003	0.000002	
PIERAPG00000004820	OTHER	0.999091	0.000019	0.000890	
PIERAPG00000001594	OTHER	0.995336	0.004234	0.000430	
PIERAPG00000004857	OTHER	0.999304	0.000204	0.000492	
PIERAPG00000008695	OTHER	0.968381	0.001235	0.030384	
PIERAPG00000007187	OTHER	0.995666	0.000346	0.003988	
PIERAPG00000007911	OTHER	0.999925	0.000038	0.000037	
PIERAPG00000001316	OTHER	0.999810	0.000117	0.000074	
PIERAPG00000001596	OTHER	0.999811	0.000143	0.000046	
PIERAPG00000001014	OTHER	0.609500	0.027248	0.363251	
PIERAPG00000000827	mTP	0.009093	0.001130	0.989778	CS pos: 26-27. RGY-AD. Pr: 0.8265
PIERAPG00000003053	OTHER	0.641075	0.033529	0.325395	
PIERAPG00000000287	OTHER	0.794327	0.196259	0.009414	
PIERAPG00000001234	OTHER	0.938766	0.060394	0.000840	
PIERAPG00000000254	SP	0.142680	0.842255	0.015065	CS pos: 20-21. ILS-NN. Pr: 0.8481
PIERAPG00000002237	OTHER	0.999996	0.000003	0.000001	
PIERAPG00000005138	SP	0.008688	0.991260	0.000053	CS pos: 20-21. VSS-DK. Pr: 0.9629
PIERAPG00000013424	OTHER	0.999664	0.000232	0.000104	
PIERAPG00000008732	SP	0.335862	0.577620	0.086518	CS pos: 17-18. ANA-KI. Pr: 0.9254
PIERAPG00000009194	OTHER	0.999902	0.000080	0.000018	
PIERAPG00000010787	SP	0.322728	0.675775	0.001497	CS pos: 21-22. VIC-EF. Pr: 0.9340
PIERAPG00000009546	OTHER	0.959123	0.036562	0.004315	
PIERAPG00000001181	OTHER	0.999837	0.000020	0.000142	
PIERAPG00000002530	OTHER	0.999975	0.000001	0.000024	
PIERAPG00000000015	SP	0.040511	0.959459	0.000030	CS pos: 17-18. VSG-KD. Pr: 0.9556
PIERAPG00000000017	SP	0.022288	0.977418	0.000294	CS pos: 20-21. XQS-ER. Pr: 0.6821
PIERAPG00000007566	SP	0.002615	0.997247	0.000138	CS pos: 19-20. AVS-NP. Pr: 0.6661
PIERAPG00000002592	SP	0.016561	0.979087	0.004352	CS pos: 18-19. GFS-QN. Pr: 0.9347
PIERAPG00000001407	OTHER	0.972233	0.026350	0.001417	
PIERAPG00000005024	SP	0.043402	0.956470	0.000128	CS pos: 26-27. SYS-GG. Pr: 0.6716
PIERAPG00000002385	OTHER	0.988473	0.000043	0.011484	
PIERAPG00000009671	OTHER	0.931199	0.061910	0.006890	
PIERAPG00000014542	SP	0.000002	0.999998	0.000000	CS pos: 17-18. ALA-RE. Pr: 0.9012
PIERAPG00000001443	OTHER	0.999976	0.000012	0.000012	
PIERAPG00000013221	SP	0.012481	0.987408	0.000111	CS pos: 22-23. VTP-KA. Pr: 0.4100
PIERAPG00000008282	OTHER	0.857913	0.063111	0.078976	
PIERAPG00000003098	OTHER	0.998179	0.001778	0.000042	
PIERAPG00000006734	OTHER	0.991540	0.002480	0.005979	
PIERAPG00000008159	OTHER	0.888554	0.020928	0.090518	
PIERAPG00000014861	SP	0.014242	0.985709	0.000048	CS pos: 18-19. VIA-LS. Pr: 0.5556
PIERAPG00000005872	OTHER	0.999912	0.000027	0.000061	
PIERAPG00000008533	OTHER	0.999991	0.000008	0.000001	
PIERAPG00000001836	OTHER	0.992819	0.004210	0.002971	
PIERAPG00000006422	OTHER	0.999385	0.000168	0.000447	
PIERAPG00000014751	OTHER	0.999953	0.000030	0.000017	
PIERAPG00000000181	SP	0.084933	0.912710	0.002357	CS pos: 38-39. SNA-EQ. Pr: 0.9189
PIERAPG00000005629	OTHER	0.999957	0.000021	0.000022	
PIERAPG00000010758	OTHER	0.999817	0.000070	0.000113	
PIERAPG00000011221	SP	0.007737	0.992185	0.000078	CS pos: 21-22. TKQ-LE. Pr: 0.3124
PIERAPG00000003557	OTHER	0.999965	0.000016	0.000018	
PIERAPG00000007244	OTHER	0.999906	0.000015	0.000079	
PIERAPG00000013534	OTHER	0.999935	0.000005	0.000060	
PIERAPG00000006561	OTHER	0.978194	0.001491	0.020315	
PIERAPG00000007040	OTHER	0.998546	0.001418	0.000036	
PIERAPG00000004636	OTHER	0.999844	0.000064	0.000092	
PIERAPG00000012970	OTHER	0.999882	0.000105	0.000013	
PIERAPG00000009037	OTHER	0.919713	0.053348	0.026939	
PIERAPG00000012808	OTHER	0.999730	0.000005	0.000265	
PIERAPG00000003300	SP	0.000962	0.999027	0.000011	CS pos: 20-21. VKT-SP. Pr: 0.7567
PIERAPG00000011409	OTHER	0.990625	0.001536	0.007838	
PIERAPG00000002297	OTHER	0.921984	0.064123	0.013893	
PIERAPG00000010838	OTHER	0.999958	0.000039	0.000003	
PIERAPG00000005100	OTHER	0.999999	0.000000	0.000000	
PIERAPG00000008340	OTHER	0.999568	0.000346	0.000086	
PIERAPG00000014334	mTP	0.222831	0.000089	0.777081	CS pos: 35-36. HCY-SI. Pr: 0.2683
PIERAPG00000009004	mTP	0.009278	0.000362	0.990360	CS pos: 31-32. ARR-SH. Pr: 0.3804
PIERAPG00000014575	OTHER	0.999965	0.000029	0.000007	
PIERAPG00000009819	mTP	0.416866	0.000805	0.582329	CS pos: 30-31. RNI-TS. Pr: 0.2019
PIERAPG00000006982	mTP	0.059436	0.001251	0.939312	CS pos: 19-20. ARL-AS. Pr: 0.4494
PIERAPG00000010255	OTHER	0.998990	0.000315	0.000695	
PIERAPG00000010974	SP	0.000044	0.999956	0.000000	CS pos: 17-18. VTA-QI. Pr: 0.8047
PIERAPG00000013851	OTHER	0.999734	0.000034	0.000233	
PIERAPG00000007691	OTHER	0.727564	0.270125	0.002311	
PIERAPG00000013998	OTHER	0.999764	0.000046	0.000189	
PIERAPG00000004246	OTHER	0.999508	0.000341	0.000152	
PIERAPG00000001644	OTHER	0.999078	0.000229	0.000693	
PIERAPG00000006540	OTHER	0.999110	0.000283	0.000607	
PIERAPG00000003525	OTHER	0.999972	0.000013	0.000015	
PIERAPG00000010737	SP	0.000146	0.999819	0.000034	CS pos: 18-19. ADA-YS. Pr: 0.8221
PIERAPG00000004137	OTHER	0.980648	0.019171	0.000181	
PIERAPG00000003575	OTHER	0.999996	0.000003	0.000001	
PIERAPG00000008589	OTHER	0.999736	0.000016	0.000248	
PIERAPG00000004123	mTP	0.117227	0.000210	0.882563	CS pos: 25-26. RQY-AT. Pr: 0.9161
PIERAPG00000010481	OTHER	0.991475	0.000041	0.008484	
PIERAPG00000007135	OTHER	0.999996	0.000003	0.000001	
PIERAPG00000003349	OTHER	0.999565	0.000161	0.000274	
PIERAPG00000008411	OTHER	0.971958	0.000596	0.027446	
PIERAPG00000010431	OTHER	0.987996	0.000062	0.011942	
PIERAPG00000002172	OTHER	0.999932	0.000037	0.000032	
PIERAPG00000012322	OTHER	0.999870	0.000002	0.000128	
PIERAPG00000005724	OTHER	0.999952	0.000044	0.000004	
PIERAPG00000012829	OTHER	0.996371	0.000942	0.002687	
PIERAPG00000010036	OTHER	0.999711	0.000061	0.000229	
PIERAPG00000006016	OTHER	0.999897	0.000075	0.000028	
PIERAPG00000008690	OTHER	0.999561	0.000180	0.000258	
PIERAPG00000014591	OTHER	0.993709	0.000256	0.006035	
PIERAPG00000005846	SP	0.277468	0.722502	0.000029	CS pos: 30-31. SEC-TT. Pr: 0.9057
PIERAPG00000013488	SP	0.145476	0.853351	0.001173	CS pos: 18-19. CSS-QN. Pr: 0.6487
PIERAPG00000012207	SP	0.000022	0.999978	0.000000	CS pos: 21-22. SFA-LP. Pr: 0.9478
PIERAPG00000004159	OTHER	0.999980	0.000016	0.000004	
PIERAPG00000014623	OTHER	0.998991	0.000159	0.000849	
PIERAPG00000001145	OTHER	0.993039	0.002356	0.004605	
PIERAPG00000004111	OTHER	0.993039	0.002356	0.004605	
PIERAPG00000007375	OTHER	0.991417	0.008200	0.000383	
PIERAPG00000010180	OTHER	0.999839	0.000132	0.000028	
PIERAPG00000014910	OTHER	0.962514	0.011527	0.025958	
PIERAPG00000012040	OTHER	0.999997	0.000001	0.000002	
PIERAPG00000010126	OTHER	0.999688	0.000192	0.000120	
PIERAPG00000006062	OTHER	0.795018	0.001240	0.203742	
PIERAPG00000000101	mTP	0.465790	0.000007	0.534203	CS pos: 34-35. RTN-GS. Pr: 0.2030
PIERAPG00000002787	SP	0.210442	0.789040	0.000518	CS pos: 25-26. ILS-KE. Pr: 0.9332
PIERAPG00000000520	OTHER	0.999692	0.000287	0.000022	
PIERAPG00000014025	OTHER	0.999995	0.000001	0.000004	
PIERAPG00000010239	OTHER	0.999345	0.000648	0.000007	
PIERAPG00000014127	OTHER	0.999959	0.000005	0.000036	
PIERAPG00000003956	OTHER	0.999466	0.000121	0.000412	
PIERAPG00000010656	SP	0.004187	0.995742	0.000071	CS pos: 20-21. ATC-DH. Pr: 0.5919
PIERAPG00000004945	OTHER	0.995914	0.000354	0.003732	
PIERAPG00000006634	OTHER	0.999759	0.000090	0.000151	
PIERAPG00000012409	OTHER	0.999964	0.000016	0.000020	
PIERAPG00000006491	OTHER	0.999948	0.000005	0.000047	
PIERAPG00000013366	OTHER	0.999932	0.000027	0.000041	
PIERAPG00000010547	OTHER	0.989139	0.000811	0.010050	
PIERAPG00000005217	OTHER	0.999894	0.000097	0.000009	
PIERAPG00000005947	OTHER	0.991087	0.000036	0.008878	
PIERAPG00000008907	SP	0.100610	0.897233	0.002158	CS pos: 28-29. VTA-GR. Pr: 0.7057
PIERAPG00000003276	SP	0.321553	0.675883	0.002564	CS pos: 28-29. IGC-SK. Pr: 0.6675
PIERAPG00000006899	mTP	0.292599	0.000028	0.707373	CS pos: 26-27. KRY-CS. Pr: 0.6886
PIERAPG00000011268	OTHER	0.999952	0.000005	0.000043	
PIERAPG00000002756	OTHER	0.995698	0.002089	0.002213	
PIERAPG00000012550	OTHER	0.995085	0.004588	0.000328	
PIERAPG00000008426	OTHER	0.999992	0.000000	0.000008	
PIERAPG00000012797	SP	0.272099	0.727432	0.000469	CS pos: 20-21. TNT-IH. Pr: 0.8807
PIERAPG00000003296	OTHER	0.999815	0.000145	0.000040	
PIERAPG00000012314	OTHER	0.999915	0.000026	0.000058	
PIERAPG00000009786	OTHER	0.996849	0.000897	0.002254	
PIERAPG00000012536	OTHER	0.999975	0.000007	0.000018	
PIERAPG00000006924	OTHER	0.999875	0.000013	0.000111	
PIERAPG00000000950	OTHER	0.999994	0.000004	0.000002	
PIERAPG00000003951	OTHER	0.999859	0.000015	0.000126	
PIERAPG00000014206	OTHER	0.999981	0.000003	0.000015	
PIERAPG00000013917	OTHER	0.999933	0.000053	0.000014	
PIERAPG00000004201	OTHER	0.997948	0.000802	0.001249	
PIERAPG00000009254	OTHER	0.999307	0.000177	0.000516	
PIERAPG00000008798	OTHER	0.999900	0.000083	0.000017	
PIERAPG00000009479	OTHER	0.999998	0.000000	0.000002	
