PIERAPT00000020220	P13813.1	22.449	196	148	1	105	296	101	296	3.79e-14	77.8	Plasmodium knowlesi	Plasmodium knowlesi	apicomplexans	RecName: Full=110 kDa antigen; AltName: Full=PK110
PIERAPT00000012817	P32234.2	87.047	193	24	1	1	192	1	193	2.82e-115	335	fruit fly	Drosophila melanogaster	flies	RecName: Full=GTP-binding protein 128up
PIERAPT00000016722	P32234.2	87.047	193	24	1	1	192	1	193	2.82e-115	335	fruit fly	Drosophila melanogaster	flies	RecName: Full=GTP-binding protein 128up
PIERAPT00000020525	Q2F637.2	96.761	247	8	0	1	247	1	247	1.06e-179	495	domestic silkworm	Bombyx mori	moths	RecName: Full=14-3-3 protein zeta
PIERAPT00000006534	P81928.2	46.569	204	109	0	24	227	46	249	9.39e-56	181	fruit fly	Drosophila melanogaster	flies	RecName: Full=RPII140-upstream gene protein
PIERAPT00000021330	O46040.3	31.970	269	152	13	13	268	101	351	9.12e-24	106	fruit fly	Drosophila melanogaster	flies	RecName: Full=SET domain-containing protein SmydA-8, isoform A
PIERAPT00000008607	P0C6U3.1	35.593	177	99	7	149	321	924	1089	3.17e-14	79.3	Human coronavirus HKU1 (isolate N1)	Human coronavirus HKU1 (isolate N1)	viruses	RecName: Full=Replicase polyprotein 1a; Short=pp1a; AltName: Full=ORF1a polyprotein; Contains: RecName: Full=Non-structural protein 1; Short=nsp1; AltName: Full=p28; Contains: RecName: Full=Non-structural protein 2; Short=nsp2; AltName: Full=p65; Contains: RecName: Full=Non-structural protein 3; Short=nsp3; AltName: Full=PL1-PRO/PL2-PRO; AltName: Full=PL1/PL2; AltName: Full=Papain-like proteinases 1/2; AltName: Full=p210; Contains: RecName: Full=Non-structural protein 4; Short=nsp4; AltName: Full=Peptide HD2; AltName: Full=p44; Contains: RecName: Full=3C-like proteinase; Short=3CL-PRO; Short=3CLp; AltName: Full=M-PRO; AltName: Full=nsp5; AltName: Full=p27; Contains: RecName: Full=Non-structural protein 6; Short=nsp6; Contains: RecName: Full=Non-structural protein 7; Short=nsp7; AltName: Full=p10; Contains: RecName: Full=Non-structural protein 8; Short=nsp8; AltName: Full=p22; Contains: RecName: Full=Non-structural protein 9; Short=nsp9; AltName: Full=p12; Contains: RecName: Full=Non-structural protein 10; Short=nsp10; AltName: Full=Growth factor-like peptide; Short=GFL; AltName: Full=p15; Contains: RecName: Full=Non-structural protein 11; Short=nsp11
PIERAPT00000019696	P0C6U4.1	25.822	213	89	9	33	232	927	1083	1.61e-07	55.8	Human coronavirus HKU1 (isolate N2)	Human coronavirus HKU1 (isolate N2)	viruses	RecName: Full=Replicase polyprotein 1a; Short=pp1a; AltName: Full=ORF1a polyprotein; Contains: RecName: Full=Non-structural protein 1; Short=nsp1; AltName: Full=p28; Contains: RecName: Full=Non-structural protein 2; Short=nsp2; AltName: Full=p65; Contains: RecName: Full=Non-structural protein 3; Short=nsp3; AltName: Full=PL1-PRO/PL2-PRO; AltName: Full=PL1/PL2; AltName: Full=Papain-like proteinases 1/2; AltName: Full=p210; Contains: RecName: Full=Non-structural protein 4; Short=nsp4; AltName: Full=Peptide HD2; AltName: Full=p44; Contains: RecName: Full=3C-like proteinase; Short=3CL-PRO; Short=3CLp; AltName: Full=M-PRO; AltName: Full=nsp5; AltName: Full=p27; Contains: RecName: Full=Non-structural protein 6; Short=nsp6; Contains: RecName: Full=Non-structural protein 7; Short=nsp7; AltName: Full=p10; Contains: RecName: Full=Non-structural protein 8; Short=nsp8; AltName: Full=p22; Contains: RecName: Full=Non-structural protein 9; Short=nsp9; AltName: Full=p12; Contains: RecName: Full=Non-structural protein 10; Short=nsp10; AltName: Full=Growth factor-like peptide; Short=GFL; AltName: Full=p15; Contains: RecName: Full=Non-structural protein 11; Short=nsp11
PIERAPT00000034714	P0C6U3.1	23.585	212	140	7	593	800	921	1114	5.82e-06	54.7	Human coronavirus HKU1 (isolate N1)	Human coronavirus HKU1 (isolate N1)	viruses	RecName: Full=Replicase polyprotein 1a; Short=pp1a; AltName: Full=ORF1a polyprotein; Contains: RecName: Full=Non-structural protein 1; Short=nsp1; AltName: Full=p28; Contains: RecName: Full=Non-structural protein 2; Short=nsp2; AltName: Full=p65; Contains: RecName: Full=Non-structural protein 3; Short=nsp3; AltName: Full=PL1-PRO/PL2-PRO; AltName: Full=PL1/PL2; AltName: Full=Papain-like proteinases 1/2; AltName: Full=p210; Contains: RecName: Full=Non-structural protein 4; Short=nsp4; AltName: Full=Peptide HD2; AltName: Full=p44; Contains: RecName: Full=3C-like proteinase; Short=3CL-PRO; Short=3CLp; AltName: Full=M-PRO; AltName: Full=nsp5; AltName: Full=p27; Contains: RecName: Full=Non-structural protein 6; Short=nsp6; Contains: RecName: Full=Non-structural protein 7; Short=nsp7; AltName: Full=p10; Contains: RecName: Full=Non-structural protein 8; Short=nsp8; AltName: Full=p22; Contains: RecName: Full=Non-structural protein 9; Short=nsp9; AltName: Full=p12; Contains: RecName: Full=Non-structural protein 10; Short=nsp10; AltName: Full=Growth factor-like peptide; Short=GFL; AltName: Full=p15; Contains: RecName: Full=Non-structural protein 11; Short=nsp11
PIERAPT00000007294	A9UQN0.1	25.342	146	108	1	25	170	6	150	1.90e-10	61.2	Monosiga brevicollis	Monosiga brevicollis	choanoflagellates	RecName: Full=Coiled-coil domain-containing protein 42 homolog
PIERAPT00000025577	O24145.1	37.184	554	309	12	27	566	14	542	3.45e-106	332	common tobacco	Nicotiana tabacum	eudicots	RecName: Full=4-coumarate--CoA ligase 1; Short=4CL 1; AltName: Full=4-coumaroyl-CoA synthase 1
