"","GeneID","TrxID","Means.All","Means.Apy","Means.Eupy","Apyrene_vs_Eupyrene_p.bh","significant_bh","Apyrene_vs_Eupyrene_diff","desc","subject_seq.id","expect_value","organism_commonName","organism_scientificName","organism_group","function."
"1","PIERAPG00000000011","PIERAPT00000000047",13.0923327762696,13.5800337509094,13.0923327762696,0.408772233750348,FALSE,0.894118453506303,NA,"G3UZ78.1",3.4e-14,"house mouse","Mus musculus","rodents","RecName: Full=Androglobin; AltName: Full=Calpain-7-like protein"
"2","PIERAPG00000000015","PIERAPT00000000052",16.5753950478301,15.994363686068,16.5753950478301,0.0526566143734819,FALSE,-1.06522416323043,NA,NA,NA,NA,NA,NA,NA
"3","PIERAPG00000000017","PIERAPT00000000054",18.8982345485636,18.8396312917142,18.8982345485636,0.882747012508606,FALSE,-0.107439304223792,NA,NA,NA,NA,NA,NA,NA
"4","PIERAPG00000000023","PIERAPT00000000079",15.5515212968328,15.7056662705831,15.5515212968328,0.752093589236413,FALSE,0.282599118542123,"Trifunctional enzyme subunit beta","P55084.3",4.56e-104,"human","Homo sapiens","primates","RecName: Full=Trifunctional enzyme subunit beta, mitochondrial; AltName: Full=TP-beta; Includes: RecName: Full=3-ketoacyl-CoA thiolase; AltName: Full=Acetyl-CoA acyltransferase; AltName: Full=Beta-ketothiolase; Flags: Precursor"
"5","PIERAPG00000000026","PIERAPT00000000091",17.0330510236129,17.7155345431601,17.0330510236129,0.0270366553776852,TRUE,1.25121978583668,"Probable methylmalonate-semialdehyde dehydrogenase [acylating], mitochondrial","Q17M80.1",0,"yellow fever mosquito","Aedes aegypti","mosquitos","RecName: Full=Probable methylmalonate-semialdehyde dehydrogenase [acylating], mitochondrial; Short=MMSDH; Short=Malonate-semialdehyde dehydrogenase [acylating]; Flags: Precursor"
"6","PIERAPG00000000034","PIERAPT00000000110",17.3498719074163,17.6191594999225,17.3498719074163,0.42130853458745,FALSE,0.493693919594726,"axonemal 84 kDa protein-like","Q29RU8.1",6.12e-40,"cattle","Bos taurus","even-toed ungulates","RecName: Full=Protein CASC1; AltName: Full=Cancer susceptibility candidate gene 1 protein homolog"
"7","PIERAPG00000000037","PIERAPT00000000123",17.3069235032009,17.1891516575322,17.3069235032009,0.823122113389844,FALSE,-0.215915050392489,NA,NA,NA,NA,NA,NA,NA
"8","PIERAPG00000000054","PIERAPT00000000178",14.7545350993669,13.7790714622096,14.7545350993669,0.0109433263383295,TRUE,-1.78835000145508,NA,NA,NA,NA,NA,NA,NA
"9","PIERAPG00000000065","PIERAPT00000000228",20.4907630198399,18.8752020030396,20.4907630198399,4.25896618369959e-06,TRUE,-2.96186186413394,NA,NA,NA,NA,NA,NA,NA
"10","PIERAPG00000000080","PIERAPT00000000254",16.927702452587,16.9277465228825,16.927702452587,0.999974221839782,FALSE,8.07955417450046e-05,"Small nuclear ribonucleoprotein Sm D3","P62318.1",5.27e-62,"human","Xenopus laevis;Homo sapiens;Mus musculus","frogs & toads;primates;rodents","RecName: Full=Small nuclear ribonucleoprotein Sm D3; Short=Sm-D3; AltName: Full=snRNP core protein D3"
"11","PIERAPG00000000092","PIERAPT00000000278",21.1768335571868,21.4880518978998,21.1768335571868,0.570445574344729,FALSE,0.570566957973831,"Disulfide-isomerase A6","Q63081.2",0,"Norway rat","Rattus norvegicus","rodents","RecName: Full=Protein disulfide-isomerase A6; AltName: Full=Calcium-binding protein 1; Short=CaBP1; AltName: Full=Protein disulfide isomerase P5; AltName: Full=Thioredoxin domain-containing protein 7; Flags: Precursor"
"12","PIERAPG00000000099","PIERAPT00000000294",21.112825138115,20.3423331646347,21.112825138115,0.0176524957690944,TRUE,-1.41256861804719,"L-threonine ammonia-lyase isoform X2","Q74FW6.1",9.56e-66,"Geobacter sulfurreducens PCA","Geobacter sulfurreducens PCA","d-proteobacteria","RecName: Full=L-threonine ammonia-lyase; AltName: Full=L-serine ammonia-lyase; AltName: Full=Threonine/serine ammonia-lyase"
"13","PIERAPG00000000101","PIERAPT00000000296",12.3158160557296,12.3058669551469,12.3158160557296,0.992459403007498,FALSE,-0.0182400177349447,"lipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex, mitochondrial","P53395.2",3.05e-166,"house mouse","Mus musculus","rodents","RecName: Full=Lipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex, mitochondrial; AltName: Full=Branched-chain alpha-keto acid dehydrogenase complex component E2; Short=BCKAD-E2; Short=BCKADE2; AltName: Full=Dihydrolipoamide acetyltransferase component of branched-chain alpha-keto acid dehydrogenase complex; AltName: Full=Dihydrolipoamide branched chain transacylase; AltName: Full=Dihydrolipoyllysine-residue (2-methylpropanoyl)transferase; Flags: Precursor"
