qpid	cluster_GSZ	cluster_RM1sum	cluster_size	cluster_desccount	RM2	val_avg	jac_avg	desc	genename
PIERAPT00000020220	1707.80380761	1.50096636897	3	154	1.80282379783	0.999438233807	5.43500431858e-07	Glutamine-rich protein 2	
PIERAPT00000012817	1530.88549998	1.97752957165	3	82	1.22410642785	0.0409955293161	0.00122986587949	GTP-binding protein 128up	
PIERAPT00000012817	883.961838723	0.604742965224	1	23	0.945682081205	0.00395596697255	3.41610380056e-05	Putative gtp-binding protein drg2 odn superfamily	
PIERAPT00000012817	257.768887939	2.03014266852	3	3048	0.830598758959	0.259417313739	1.37508603206e-06	OBG-type G domain-containing protein (Fragment)	
PIERAPT00000016722	1530.88549998	1.97752957165	3	82	1.22410642785	0.0409955293161	0.00122986587949	GTP-binding protein 128up	
PIERAPT00000016722	883.961838723	0.604742965224	1	23	0.945682081205	0.00395596697255	3.41610380056e-05	Putative gtp-binding protein drg2 odn superfamily	
PIERAPT00000016722	257.768887939	2.03014266852	3	3048	0.830598758959	0.259417313739	1.37508603206e-06	OBG-type G domain-containing protein (Fragment)	
PIERAPT00000020525	6060.0432261	29.8083976825	42	160	3.0758883328	0.116730022564	0.000206519893394	14-3-3 protein zeta	
PIERAPT00000020525	783.422898733	2.11067598708	3	48	0.906069843657	0.00509562561247	1.29451728863e-07	Putative multifunctional chaperone	
PIERAPT00000006534	9277.8384502	5.68451717624	11	13	4.37872072401	0.146308840755	0.002082916651	Putative complex i assembly factor timmdc1 mitochondrial	
PIERAPT00000006534	303.25487123	2.11857083311	4	1690	0.734583242916	0.0439268232514	3.9050384862e-06	Putative plasma membrane protein (Fragment)	
PIERAPT00000006534	40.3064116831	0.511575115747	1	5572	0.613258598045	0.01346421013	1.0012277289e-07	Putative secreted protein (Fragment)	
PIERAPT00000021330	2297.58492238	2.20756644231	4	13	1.52196401168	0.0243897187371	0.000174590098351	Msta isoform B like protein	
PIERAPT00000021330	782.648325188	1.64223290491	3	62	0.918043154529	0.02827135181	3.99739729048e-07	Putative histone tail methylase	
PIERAPT00000021330	286.72893628	14.867344451	27	37845	0.794803225189	0.170019337441	7.00916681139e-05	SET domain-containing protein SmydA-8	
PIERAPT00000021330	213.945131169	0.552771860598	1	94	0.684546297533	0.0169188348416	6.31299807523e-05	Histone-lysine N-methyltransferase ASHR1	
PIERAPT00000010174	5568.87629319	2.13596174401	4	10	2.85093480933	0.0629891785126	1.37216258976e-06	paternally-expressed gene 3 protein-like isoform X2	LOC112054059
PIERAPT00000010174	4005.65110894	2.06127202591	4	18	2.26010028743	0.127981534778	0.000481521075783	probable serine/threonine-protein kinase kinX isoform X5	LOC112054059
PIERAPT00000020117	1.44899641354e-13	0.57243710585	1	57	0.853613292944	0.497383568812	7.36770348935e-08	ly-6/neurotoxin-like protein 1	
PIERAPT00000025577	762.1326139	18.0650195494	35	5067	0.959275326833	0.121551403858	1.86137987831e-06	AMP dependent coa ligase	
PIERAPT00000025577	460.09040321	0.484460154305	1	5	0.778784498544	0.00895564289725	9.23262154356e-05	CaiC	
PIERAPT00000025577	429.834307265	0.452601619333	1	4	0.772302413159	0.0195635644769	5.4015263015e-08	4-coumarate--CoA ligase-like 9 isoform A	
PIERAPT00000025577	450.075132945	0.473914450108	1	5	0.770615659209	0.00110491698083	1.58193081766e-09	4-coumarate-CoA ligase-like protein 7	
PIERAPT00000025577	208.06194171	12.5368426432	26	32716	0.673224776684	0.0	0.0	AMP-dependent synthetase/ligase	
PIERAPT00000025577	19.5168627542	1.00224710968	2	23543	0.598448093491	0.00121009119247	2.87327484121e-09	AMP-dependent synthetase	
PIERAPT00000010742	1827.22941784	15.9167410912	29	735	1.37429986731	0.100769940359	1.58938934984e-06	4-coumarate--CoA ligase 1	
PIERAPT00000010742	1505.43868395	3.28063394001	6	46	1.25197834069	0.112835522868	1.99960833031e-06	Putative long chain fatty acid acyl-coa ligase	
PIERAPT00000010742	565.391859425	1.20501792947	2	44	0.822191735065	0.0113867687651	1.92456797653e-07	4-coumarate--CoA ligase 1-like isoform X2	
PIERAPT00000010742	374.843882997	1.6904699317	3	197	0.753633841109	0.0258420374518	4.03018187977e-07	AMP dependent coa ligase	
PIERAPT00000010742	101.553112336	0.530212606135	1	264	0.634280905493	0.00690501954924	9.88604882626e-09	4-coumarate--CoA ligase-like 7	
PIERAPT00000010742	55.692414326	3.27759061383	6	33429	0.62904374059	0.0316354144166	2.60934968448e-07	Acyl-CoA synthetase	
PIERAPT00000010742	24.7183173459	0.541035847315	1	4626	0.6019603677	0.00391139746805	5.16731968475e-09	AMP-binding enzyme	
PIERAPT00000010742	15.9566498177	0.545245763597	1	11224	0.598457343902	0.00391449806058	1.55435563964e-10	AMP-binding domain containing protein (Fragment)	
PIERAPT00000010742	9.98086772466	0.530980683932	1	26902	0.59399234709	0.0	0.0	AMP-binding protein	
PIERAPT00000014620	1968.31076131	0.522503848036	1	7	1.49807027511	0.227822580645	1.42042440572e-07	4-coumarate--CoA ligase-like 6 (Fragment)	
PIERAPT00000014620	1102.37548496	0.50685788838	1	30	1.08044688211	0.0933899769585	1.69286742262e-08	4-coumarate--CoA ligase-like 2	
PIERAPT00000014620	557.533180477	0.521168940562	1	124	0.868768601458	0.105198732719	4.62841488163e-08	4-coumarate--CoA ligase-like 5	
PIERAPT00000014620	56.6163638771	0.503649077983	1	11224	0.662143233413	0.0933899769585	3.70829759335e-09	AMP-binding domain containing protein (Fragment)	
PIERAPT00000026231	1968.31076131	0.522503848036	1	7	1.49807027511	0.227822580645	1.42042440572e-07	4-coumarate--CoA ligase-like 6 (Fragment)	
PIERAPT00000026231	1102.37548496	0.50685788838	1	30	1.08044688211	0.0933899769585	1.69286742262e-08	4-coumarate--CoA ligase-like 2	
PIERAPT00000026231	557.533180477	0.521168940562	1	124	0.868768601458	0.105198732719	4.62841488163e-08	4-coumarate--CoA ligase-like 5	
PIERAPT00000026231	56.6163638771	0.503649077983	1	11224	0.662143233413	0.0933899769585	3.70829759335e-09	AMP-binding domain containing protein (Fragment)	
PIERAPT00000020240	2075.10201943	8.13206869659	15	521	1.65330287042	0.43983943354	0.00735814356001	Luciferin 4-monooxygenase	
PIERAPT00000015392	1043.52927565	2.15904086819	4	372	1.05764259673	0.0947592582974	0.000423978784328	Luciferin 4-monooxygenase	
PIERAPT00000015392	1073.24288636	0.50183255773	1	19	1.02494387302	0.0106541837636	5.40094987127e-08	4-coumarate--CoA ligase-like 9 (Fragment)	
PIERAPT00000015392	368.533980167	0.552053975365	1	195	0.738224143994	0.00152934319039	1.83464763838e-09	AMP dependent coa ligase	
PIERAPT00000028702	3289.63137146	4.52857072755	8	18	1.93049156109	0.0464883528204	9.27544740515e-06	Putative prokaryotic long-chain fatty acid coa synthetase	
PIERAPT00000028702	696.04311979	16.5662425145	30	5380	0.89963027702	0.0588924787858	7.67397152292e-07	AMP dependent coa ligase	
PIERAPT00000028702	545.385776563	0.559606370083	1	5	0.813504591851	0.0100948702227	3.92539111035e-10	AMP-binding, conserved site,AMP-dependent synthetase/ligase,AMP-binding enzyme, C-terminal domain	
PIERAPT00000028702	476.645959625	0.489074448165	1	6	0.78065838385	0.0	0.0	Putative 4-coumarateligase	
PIERAPT00000028702	188.241492993	1.00182285738	2	269	0.666383323435	0.00205042664212	5.87127024162e-09	4-coumarate--ligase 7	
PIERAPT00000028702	113.039910095	5.182024385	10	19934	0.635215964038	0.0	0.0	4-coumarate--ligase	
PIERAPT00000028702	83.1880088341	0.520677489381	1	372	0.624008287622	0.0013831191435	1.5471131359e-06	Luciferin 4-monooxygenase	
PIERAPT00000020157	1256.26303921	1.67292714698	3	143	1.19897544766	0.200861794935	0.00067403286891	luciferin 4-monooxygenase-like	
PIERAPT00000020157	373.891606859	0.552373311032	1	176	0.740894567949	0.0025243871357	1.1764426622e-09	4-coumarate--CoA ligase 1-like	
PIERAPT00000020157	54.0095152007	0.559199629628	1	8639	0.723039973083	0.210256772507	3.87870374313e-06	Luciferase	
PIERAPT00000020157	31.3411817393	0.553290186505	1	25085	0.602536472696	0.0	0.0	AMP-binding domain-containing protein	
PIERAPT00000034779	868.41184048	1.7521371725	3	593	0.947136186512	0.0184366979372	2.06691058974e-08	4-coumarate-CoA ligase	
PIERAPT00000027655	4285.49806502	8.68480177275	16	115	2.34498464656	0.0769535619609	1.6356200959e-06	5-hydroxytryptamine receptor 1	
PIERAPT00000027655	730.918164562	1.12215222998	2	66	0.89750998754	0.0285711588897	3.75172509256e-07	Putative 7 transmembrane receptor	
PIERAPT00000031725	4286.39584011	8.68070537867	16	115	2.35039783703	0.0864895552684	1.834900168e-06	5-hydroxytryptamine receptor 1	
PIERAPT00000031725	729.679228346	1.11948722781	2	66	0.898172589899	0.0307563971311	4.04057647875e-07	Putative 7 transmembrane receptor	
PIERAPT00000002348	2729.95958994	3.19985973921	6	12	1.72805979527	0.0869356739969	2.60388730395e-06	5-hydroxytryptamine receptor isoform X1	
PIERAPT00000002348	1141.42410661	22.3876389819	38	3360	1.18884286129	0.268437419222	6.9322891426e-05	G protein-coupled receptor	
PIERAPT00000002348	695.08810565	3.55915175703	6	229	0.879528482172	0.0216853282131	7.9795305084e-07	5-hydroxytryptamine receptor 1A	
PIERAPT00000005467	3313.06820554	5.61337659891	10	20	1.96479246967	0.0935191044792	3.10405547703e-06	5-hydroxytryptamine receptor isoform X1	
PIERAPT00000005467	3027.18243726	8.73437158458	15	58	1.86454190901	0.120115501538	0.000385914513558	Serotonin receptor	
PIERAPT00000005467	870.609635192	18.03642817	30	2990	1.05057675592	0.211948517312	9.38340294255e-06	G protein-coupled receptor	
PIERAPT00000005467	401.587240694	3.12926312929	5	423	0.7584712474	0.0147855427478	6.73321946795e-07	5-hydroxytryptamine receptor 1B	
PIERAPT00000005467	131.706341862	0.566765798946	1	129	0.738233608703	0.180284702909	8.97082214e-06	Histamine H3 receptor	
PIERAPT00000006612	949.488800803	0.577956583854	1	3	0.969795520321	0.0	0.0	Ecto-nucleotidase	
PIERAPT00000006612	333.483629045	8.85614847271	16	19031	0.96539882008	0.456611883638	5.35066969872e-05	5' nucleotidase	
PIERAPT00000035079	2.40248847931e-10	0.603521566428	1	2321	0.592468012702	0.00465662666285	2.85441324988e-08	Phosphogluconate dehydrogenase (NADP(+)-dependent, decarboxylating) (Fragment)	
PIERAPT00000034252	3242.04105016	17.6367591771	31	160	1.91101368946	0.0456551840904	1.09123008766e-06	Serpin-2	
PIERAPT00000034252	2043.53582188	2.77921387801	5	8	1.47141753502	0.120760521144	6.50316422183e-06	serine protease inhibitor 3/4-like isoform X9	
PIERAPT00000034252	1782.34624861	2.76378096785	5	13	1.36699084452	0.120853287246	5.14197685357e-06	serine protease inhibitor 3/4-like isoform X8	
PIERAPT00000034252	683.90901542	8.79467135297	16	894	0.880468519114	0.0318959549991	2.83981105199e-06	Serine protease inhibitor	
PIERAPT00000034252	716.37133319	2.04365122362	4	44	0.880189449618	0.0068631380964	0.000172657562173	Alaserpin	
PIERAPT00000034252	371.777113214	0.505620520271	1	2	0.799620410576	0.114923580317	3.38613400973e-06	antichymotrypsin-2-like isoform X18	
PIERAPT00000034252	365.619058279	0.497245559983	1	2	0.797146524996	0.114903468049	3.18090900818e-06	antichymotrypsin-2-like isoform X17	
PIERAPT00000034252	279.752858651	13.0049933016	23	11678	0.717348870901	0.0291454657779	3.15289236447e-05	SERPIN domain-containing protein (Fragment)	
PIERAPT00000011748	1836.44720128	10.8968926699	21	536	1.3839779288	0.112063977607	0.000257007923277	RNA binding motif protein 46	
PIERAPT00000011748	857.258300434	3.69614166475	7	283	0.940207805579	0.0137797228857	6.16138102302e-05	APOBEC1 complementation factor	
PIERAPT00000011748	559.61911488	3.70150574842	7	666	0.818982596714	0.00968840668831	4.76087201012e-06	RNA-binding motif protein 47	
PIERAPT00000011748	375.442119137	0.50917244535	1	28	0.742302772658	0.00401104553823	3.543387345e-06	Putative heteroproteinous nuclear ribonucleoprotein r rrm superfamily (Fragment)	
PIERAPT00000002952	1467.83720014	1.12233185379	2	139	1.2831112461	0.199954290938	2.95922060339e-05	Vascular endothelial growth factor C	
PIERAPT00000016397	1893.53435396	0.517805441665	1	5	1.37270849379	0.0477257985593	3.94855276687e-06	Alpha2 macroglobulin isoform 2 (Fragment)	
PIERAPT00000016397	972.182279635	0.511378270874	1	37	0.992474786493	0.0256631428018	2.04476814412e-05	Pregnancy zone protein	
PIERAPT00000016397	957.574226944	1.08600221624	2	172	0.974703560282	0.00315824433056	4.67828236267e-10	Alpha-2-macroglobulin-like protein 1	
PIERAPT00000002806	795.105914909	2.55782810587	5	1184	0.939081634164	0.058560807083	0.000102022311991	Alpha-1,4-N-acetylglucosaminyltransferase	
PIERAPT00000010124	794.942743478	2.75601556844	5	1184	0.925026764535	0.0321670685655	5.60401891384e-05	Alpha-1,4-N-acetylglucosaminyltransferase	
PIERAPT00000007684	565.938435912	1.01571926279	2	935	0.816375374365	0.0	0.0	Alpha-1,4-N-acetylglucosaminyltransferase	
PIERAPT00000034197	3.89886568821e-11	0.509353148216	1	935	0.59	0.0	0.0	Alpha-1,4-N-acetylglucosaminyltransferase	
PIERAPT00000002369	675.675876935	3.58246260871	6	1475	0.984934226928	0.235212980272	4.983048128e-05	WD repeat-containing protein 55 homolog	
PIERAPT00000002369	680.661570529	1.18488201275	2	159	0.866550433194	0.00808513715559	3.41145027662e-05	Aladin	
PIERAPT00000022087	6657.17871442	31.3359826171	49	158	3.29938534856	0.0877540103246	0.000211865954105	Histone deacetylase complex subunit SAP30	
PIERAPT00000003212	279.949047655	3.1890868676	6	7416	0.715380859856	0.0252832721076	5.53288695861e-05	Zinc finger protein jing homolog	LOC112046764
PIERAPT00000003212	45.3749142919	1.66381229804	3	76655	0.608149965717	0.0	0.0	C2H2-type domain-containing protein (Fragment)	LOC112046764
PIERAPT00000031968	1716.54908379	44.1402000859	76	3830	1.31618547852	0.0746522312825	8.121439252e-06	Elongation factor Ts, mitochondrial	
PIERAPT00000023220	2719.0641863	0.612533376833	1	6	1.67762567452	0.0	0.0	Lissencephaly-1-like	
PIERAPT00000023220	715.691862656	0.620251510159	1	148	0.877368555075	0.00206001390532	1.32127690281e-07	Platelet-activating factor acetylhydrolase IB subunit beta	
PIERAPT00000004914	2459.13858854	4.79090986142	8	42	1.5984796648	0.0468381250233	1.15586396516e-06	Putative eukaryotic translation initiation factor 3 subunit	
PIERAPT00000004914	1214.44531693	15.9805206359	28	1916	1.11451883594	0.0730836379289	0.00031905316569	Clustered mitochondria protein homolog	
PIERAPT00000004914	1073.3520632	1.02035820765	2	7	1.02403803783	0.00886266216687	8.02119298847e-08	Putative clu1/clua/tif31 involved in mitochondrial morphology/distribution (Fragment)	
PIERAPT00000004914	253.427554955	1.71040229351	3	504	0.693827959428	0.0046354005749	8.7570539828e-06	Clu domain-containing protein (Fragment)	
PIERAPT00000000091	5575.10999098	62.4154061807	99	472	2.93815565236	0.222851175261	2.66539485062e-05	Probable methylmalonate-semialdehyde dehydrogenase [acylating], mitochondrial	
PIERAPT00000000091	378.601118417	0.61695218272	1	10	0.875276026312	0.252519743073	5.75583651991e-06	Putative methylmalonate-semialdehyde dehydrogenase acylating	
PIERAPT00000015505	3783.8381275	50.6694122231	98	1023	2.30193003629	0.373431047515	0.0238165053527	Anamorsin homolog	
PIERAPT00000007455	1289.77735824	1.70141975239	3	15	1.1059109433	0.0	0.0	Aquaporin-4	
PIERAPT00000007455	747.644485628	24.1941989999	40	9026	0.966489825662	0.146089331195	0.000234293874953	Aquaporin AQPcic	
PIERAPT00000007455	334.300440618	1.05594969729	2	86	0.730437979028	0.0126750972851	6.09712671354e-08	aquaporin-4 isoform X1	
PIERAPT00000017971	2529.57774023	2.41911997078	4	7	1.6229485393	0.0398441196938	2.98873558315e-06	Aquaporin-1 transcript variant A	
PIERAPT00000017971	754.568614474	21.1652602837	38	8602	0.944893471607	0.100120593018	0.000105575887858	Aquaporin AQPcic	
PIERAPT00000017971	194.605048663	0.620064829531	1	111	0.667842019465	0.0	0.0	Aquaporin-1 (Fragment)	
PIERAPT00000028462	327.552271471	4.48992822044	8	8017	0.744715266948	0.0447057941062	1.43741728357e-05	aquaporin AQPcic	
PIERAPT00000027899	5999.65578558	54.9182113446	99	411	3.0824022324	0.174602404861	3.21795624644e-05	E3 UFM1-protein ligase 1 homolog	
PIERAPT00000035401	3408.4326825	55.9328972308	98	1250	2.02973917614	0.144086129894	2.27146525668e-05	Mitochondrial GTPase 1	
PIERAPT00000035401	58.4100204101	0.518798405489	1	366	0.613451881955	0.000165799593734	2.92949742094e-10	CP-type G domain-containing protein (Fragment)	
PIERAPT00000025904	2233.37691516	53.3817699656	91	2617	1.55830419156	0.141402300656	0.00051030730358	Translation factor waclaw, mitochondrial	
PIERAPT00000025904	386.998195382	0.571790207894	1	3	0.744799278153	0.0	0.0	GTP-binding protein GUF1-like protein (Fragment)	
PIERAPT00000025904	42.5539297389	1.7205601524	3	7465	0.607512644641	0.000926552164343	4.91134890263e-09	Tr-type G domain-containing protein (Fragment)	
PIERAPT00000008219	2502.00055361	60.477278928	96	2220	1.6300604195	0.074074912258	2.47279364549e-05	Eukaryotic translation initiation factor 3 subunit M	
PIERAPT00000008219	20.7051990121	1.2782965754	2	14349	0.598663766551	0.000720161029858	8.0000114403e-08	PCI domain-containing protein	
PIERAPT00000017994	708.24071447	59.4995843862	99	29178	1.09093067637	0.410620108958	0.000286641488708	Argininosuccinate synthase	
PIERAPT00000017994	15.8073224273	0.634357097908	1	6604	0.596345249322	4.21138698951e-05	1.96263689171e-11	Citrulline--aspartate ligase	
PIERAPT00000035690	708.24071447	59.4995843862	99	29178	1.09093067637	0.410620108958	0.000286641488708	Argininosuccinate synthase	
PIERAPT00000035690	15.8073224273	0.634357097908	1	6604	0.596345249322	4.21138698951e-05	1.96263689171e-11	Citrulline--aspartate ligase	
PIERAPT00000032814	8262.50597336	57.0687915292	99	216	4.15086311792	0.482712523914	0.00115454518005	adenosine monophosphate-protein transferase Fic	
PIERAPT00000034449	1438.42374389	29.642381874	53	3754	1.34035800336	0.330148821396	0.000481523044328	WD repeat-containing protein 55	
PIERAPT00000034449	91.5363455164	0.566916099742	1	339	0.626614538207	0.0	0.0	WD-repeat protein, putative	
PIERAPT00000021819	1082.44156851	9.38127704248	16	2020	1.03024182161	0.0137078922622	5.65512629015e-07	Mediator of RNA polymerase II transcription subunit 1	
PIERAPT00000011043	2849.76287478	29.620356922	52	952	1.90013802937	0.320973244553	0.00585299200837	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit KCP2	
PIERAPT00000015483	1481.89322085	53.0016069244	100	6816	1.21787371982	0.0662542547376	8.38234939414e-05	Elongation of very long chain fatty acids protein (Fragment)	
PIERAPT00000019344	1474.79691985	57.4460764357	99	6806	1.21794285106	0.0717401950503	8.89869851222e-05	Very long chain fatty acid elongation protein ELO3	
PIERAPT00000021843	1474.84021376	59.7511538105	99	6802	1.21270479054	0.061824834976	7.71250066571e-05	Very long chain fatty acid elongation protein ELO5	
PIERAPT00000027823	1482.87891988	59.9235253315	100	6802	1.22207933908	0.0734451186831	9.29113688509e-05	Elongation of very long chain fatty acids protein (Fragment)	
PIERAPT00000013271	7527.15229406	57.0352132449	96	251	3.65560935505	0.103197105149	0.00269858492263	Cytosolic Fe-S cluster assembly factor NUBP2 homolog	
PIERAPT00000013271	211.048164264	0.597173436751	1	35	0.67468170317	0.000495165011795	4.06953722835e-10	Putative atpase nucleotide-binding protein (Fragment)	
PIERAPT00000028596	2352.93217795	63.0820554062	97	2571	1.56596081648	0.0656369674699	1.76272718448e-05	Eukaryotic translation initiation factor 3 subunit L	
PIERAPT00000001557	2663.3899734	52.4619495224	92	1938	1.73717084746	0.154366492352	3.08575249674e-05	Glutamyl-tRNA(Gln) amidotransferase subunit B, mitochondrial	
PIERAPT00000030716	335.750283745	15.3160221371	23	30525	0.989283148827	0.499958091662	0.000262337419483	PHB domain-containing protein (Fragment)	5569019
PIERAPT00000034361	1425.905873	1.6004594731	3	6	1.17281845715	0.0235019140959	4.67408965294e-06	Podocin (inferred by orthology to a human protein)	
